hour_of_day,location_region,risk_score
4,North America,59.0625
18,Europe,43.75
19,Asia,36.75
22,Asia,36.75
22,Africa,36.75
12,Asia,36.75
18,Africa,35.0
21,South America,36.75
19,South America,35.0
13,Asia,36.75
4,North America,49.6125
3,Africa,59.0625
7,South America,43.75
15,North America,36.75
3,North America,49.6125
17,Africa,36.75
19,Africa,36.75
4,Asia,59.0625
13,Europe,36.75
7,North America,43.75
3,Africa,47.25
20,South America,36.75
23,South America,36.75
9,Africa,36.75
15,Africa,36.75
11,Africa,35.0
3,North America,49.6125
0,Africa,47.25
18,South America,36.75
0,Europe,49.6125
4,Africa,47.25
10,North America,36.75
2,Europe,47.25
4,Asia,59.0625
1,Europe,59.0625
4,Europe,59.0625
14,Africa,36.75
2,Europe,49.6125
22,Asia,36.75
12,North America,36.75
19,Europe,35.0
4,North America,49.6125
19,North America,36.75
9,Africa,36.75
4,South America,47.25
8,North America,35.0
17,Africa,35.0
22,North America,36.75
8,Europe,36.75
9,Europe,35.0
4,Africa,49.6125
1,Asia,49.6125
5,Asia,47.25
0,North America,49.6125
3,South America,59.0625
20,Asia,36.75
10,North America,43.75
7,North America,36.75
11,Africa,36.75
19,North America,36.75
17,Europe,36.75
0,Africa,49.6125
23,Asia,36.75
14,South America,35.0
9,Africa,36.75
15,South America,36.75
10,North America,36.75
2,South America,49.6125
6,Asia,49.6125
1,Europe,59.0625
4,South America,49.6125
8,Europe,36.75
0,Asia,49.6125
13,Africa,36.75
13,South America,35.0
2,North America,49.6125
18,Europe,36.75
18,South America,43.75
8,Europe,36.75
8,North America,36.75
13,Europe,36.75
10,Asia,43.75
10,Europe,43.75
13,North America,43.75
2,North America,49.6125
16,South America,36.75
22,Asia,36.75
21,South America,36.75
5,Europe,59.0625
12,North America,36.75
19,Asia,36.75
2,Europe,49.6125
10,Europe,43.75
8,South America,36.75
20,North America,36.75
21,South America,36.75
21,Europe,36.75
10,Asia,36.75
3,Europe,49.6125
2,North America,59.0625
17,North America,36.75
15,Asia,35.0
8,Africa,36.75
22,Asia,36.75
0,South America,59.0625
16,Africa,36.75
15,South America,43.75
2,Europe,47.25
1,Africa,49.6125
15,Africa,36.75
18,South America,36.75
15,North America,43.75
10,South America,36.75
16,South America,36.75
4,South America,49.6125
9,South America,36.75
11,North America,36.75
13,South America,35.0
23,Europe,36.75
21,Europe,35.0
9,North America,43.75
4,Asia,47.25
16,North America,36.75
2,Europe,49.6125
17,South America,43.75
6,Europe,49.6125
18,Asia,35.0
9,South America,36.75
4,Europe,49.6125
14,Europe,35.0
9,Asia,36.75
6,Europe,49.6125
16,Europe,36.75
5,Africa,49.6125
16,Africa,43.75
16,Europe,36.75
3,Africa,59.0625
2,South America,49.6125
16,Asia,35.0
19,Africa,36.75
8,Africa,35.0
14,Africa,36.75
19,Africa,36.75
16,Europe,43.75
3,North America,59.0625
17,Europe,36.75
9,North America,35.0
17,South America,36.75
17,Africa,36.75
21,Europe,36.75
13,Asia,36.75
21,North America,36.75
2,North America,47.25
2,Asia,49.6125
13,Europe,36.75
21,South America,36.75
2,South America,59.0625
2,Africa,49.6125
12,Africa,35.0
4,Africa,59.0625
20,Africa,36.75
1,Africa,49.6125
17,Europe,35.0
3,Asia,59.0625
5,Asia,49.6125
11,South America,35.0
12,North America,43.75
6,South America,49.6125
12,Europe,35.0
2,South America,49.6125
9,Asia,43.75
2,Africa,49.6125
3,Europe,49.6125
18,North America,36.75
19,Europe,36.75
14,Asia,35.0
4,Europe,49.6125
3,Europe,59.0625
5,Africa,47.25
10,Africa,43.75
5,Asia,49.6125
12,Europe,35.0
19,North America,43.75
2,North America,49.6125
13,Asia,43.75
22,Asia,36.75
22,Africa,35.0
14,North America,43.75
23,Asia,36.75
21,Asia,36.75
2,Asia,49.6125
8,Africa,36.75
18,South America,36.75
17,Europe,36.75
0,South America,49.6125
1,North America,49.6125
9,Europe,36.75
21,Africa,35.0
5,South America,49.6125
21,Africa,43.75
15,North America,35.0
2,Asia,47.25
14,Africa,36.75
2,Europe,49.6125
18,South America,36.75
8,Africa,43.75
17,Europe,43.75
1,South America,49.6125
21,Asia,36.75
1,Africa,49.6125
18,Asia,36.75
6,South America,49.6125
8,Asia,35.0
14,South America,36.75
3,Europe,49.6125
21,Europe,36.75
22,North America,36.75
2,South America,49.6125
6,North America,59.0625
17,South America,43.75
19,Africa,35.0
3,Africa,49.6125
1,Asia,47.25
0,South America,49.6125
5,Africa,49.6125
2,Africa,59.0625
12,Europe,36.75
1,Africa,49.6125
23,North America,43.75
6,Europe,59.0625
19,South America,36.75
19,North America,36.75
22,Europe,36.75
5,Africa,49.6125
12,Africa,35.0
9,Asia,36.75
7,Africa,36.75
23,South America,36.75
6,North America,49.6125
3,South America,59.0625
19,Asia,43.75
22,Europe,35.0
12,Africa,36.75
14,Asia,36.75
23,Africa,36.75
15,South America,43.75
0,North America,49.6125
23,Europe,36.75
2,Europe,59.0625
1,Europe,47.25
5,Africa,47.25
23,Africa,36.75
10,Africa,36.75
12,South America,43.75
4,Africa,49.6125
16,Europe,36.75
3,North America,47.25
2,Asia,47.25
18,Asia,36.75
9,Europe,43.75
4,Asia,47.25
5,Asia,49.6125
14,Europe,43.75
6,Asia,49.6125
19,Asia,36.75
1,Europe,49.6125
17,South America,43.75
12,Europe,35.0
5,South America,49.6125
1,Europe,49.6125
8,Asia,35.0
22,North America,43.75
18,Africa,36.75
15,Europe,43.75
4,North America,47.25
6,Africa,49.6125
17,Asia,36.75
21,North America,35.0
15,Europe,36.75
6,Asia,49.6125
21,Asia,36.75
17,Africa,36.75
14,Europe,36.75
5,Europe,49.6125
14,South America,36.75
14,Africa,43.75
2,South America,59.0625
1,Africa,49.6125
18,Africa,36.75
6,Africa,49.6125
5,South America,49.6125
16,North America,36.75
12,Asia,36.75
7,Europe,43.75
16,Africa,36.75
7,Europe,36.75
14,South America,35.0
15,Asia,43.75
7,Asia,36.75
2,North America,49.6125
3,Europe,47.25
15,Europe,36.75
6,Africa,49.6125
5,North America,59.0625
23,Africa,35.0
20,North America,35.0
17,North America,36.75
20,South America,43.75
2,Asia,49.6125
19,Africa,35.0
2,Asia,49.6125
7,North America,36.75
20,South America,36.75
11,Europe,36.75
20,Europe,36.75
8,Asia,43.75
16,Europe,36.75
21,Europe,43.75
11,Asia,36.75
0,Europe,47.25
18,South America,43.75
15,Africa,35.0
12,Africa,36.75
6,Asia,47.25
3,North America,59.0625
3,South America,49.6125
16,South America,35.0
16,Asia,36.75
18,South America,43.75
22,Asia,36.75
3,Europe,49.6125
7,North America,43.75
3,Europe,49.6125
3,Europe,59.0625
4,South America,49.6125
1,Africa,49.6125
19,Asia,43.75
17,Africa,36.75
19,Europe,36.75
1,South America,59.0625
20,South America,36.75
8,Europe,43.75
1,Europe,49.6125
20,North America,36.75
19,Europe,36.75
6,South America,49.6125
4,Europe,59.0625
14,North America,36.75
21,Africa,43.75
14,South America,36.75
17,Africa,43.75
13,Europe,36.75
23,Asia,35.0
13,Africa,36.75
0,Asia,49.6125
13,South America,36.75
18,Asia,43.75
11,Asia,36.75
9,North America,36.75
6,Africa,49.6125
10,South America,43.75
7,Asia,35.0
16,North America,35.0
18,South America,36.75
16,Asia,43.75
15,South America,36.75
16,South America,43.75
17,Europe,43.75
12,North America,36.75
1,South America,49.6125
6,Africa,49.6125
9,North America,36.75
7,Europe,36.75
20,Europe,36.75
16,Africa,35.0
8,North America,43.75
11,Africa,36.75
18,Europe,36.75
21,Africa,35.0
7,Europe,43.75
19,North America,36.75
4,Africa,49.6125
0,Africa,49.6125
6,Europe,59.0625
12,Asia,35.0
10,Europe,36.75
15,South America,36.75
13,Africa,36.75
13,North America,36.75
15,Africa,43.75
15,Asia,35.0
6,Europe,59.0625
9,Asia,36.75
16,North America,36.75
20,Asia,43.75
12,North America,43.75
17,Asia,43.75
14,Europe,36.75
8,North America,35.0
7,Africa,36.75
4,Africa,49.6125
16,North America,35.0
9,South America,35.0
2,North America,49.6125
21,Europe,36.75
22,North America,36.75
19,North America,43.75
15,Africa,36.75
10,Europe,35.0
10,North America,36.75
0,Asia,49.6125
9,Africa,36.75
22,Europe,36.75
22,Asia,36.75
22,Asia,36.75
20,Asia,36.75
7,South America,36.75
22,South America,35.0
2,Asia,49.6125
13,North America,36.75
7,Europe,36.75
1,Asia,49.6125
9,North America,43.75
0,Asia,49.6125
1,Asia,59.0625
15,Africa,36.75
10,North America,36.75
3,Europe,59.0625
18,North America,36.75
8,North America,35.0
0,North America,47.25
3,Africa,59.0625
13,North America,36.75
19,Europe,36.75
23,Europe,43.75
7,Africa,35.0
7,Europe,36.75
22,Europe,35.0
7,South America,36.75
21,South America,36.75
14,South America,43.75
12,North America,36.75
7,Asia,36.75
1,Asia,49.6125
21,South America,36.75
12,South America,36.75
9,North America,35.0
18,Europe,36.75
13,North America,36.75
11,North America,36.75
18,South America,43.75
18,Europe,36.75
20,North America,43.75
4,Asia,59.0625
20,Asia,36.75
16,North America,43.75
17,North America,35.0
3,North America,49.6125
6,Africa,49.6125
15,Africa,35.0
23,South America,35.0
5,North America,49.6125
21,North America,35.0
12,South America,36.75
4,South America,59.0625
3,Africa,49.6125
12,Asia,36.75
14,Asia,36.75
1,North America,47.25
12,Europe,35.0
22,Africa,35.0
18,North America,35.0
1,Asia,49.6125
23,Asia,35.0
18,Africa,35.0
14,Europe,36.75
8,Europe,43.75
4,Africa,49.6125
4,Europe,59.0625
20,South America,35.0
13,South America,35.0
23,Asia,35.0
19,Europe,36.75
2,North America,49.6125
12,North America,36.75
1,North America,47.25
1,Europe,47.25
23,Asia,36.75
23,Africa,36.75
23,Asia,35.0
22,North America,43.75
21,Europe,36.75
13,North America,36.75
10,Asia,43.75
0,North America,47.25
9,South America,36.75
12,Africa,36.75
3,South America,49.6125
23,South America,43.75
17,North America,36.75
4,Asia,47.25
21,North America,35.0
20,North America,43.75
4,North America,49.6125
0,South America,59.0625
13,Africa,36.75
11,Europe,43.75
5,Africa,47.25
1,North America,49.6125
9,Europe,36.75
16,Europe,36.75
10,South America,43.75
1,North America,49.6125
19,Africa,43.75
8,Asia,36.75
6,Europe,49.6125
15,Asia,36.75
14,South America,36.75
1,Europe,47.25
12,North America,35.0
5,Asia,49.6125
6,South America,49.6125
16,North America,36.75
20,North America,35.0
3,Europe,49.6125
6,Asia,49.6125
20,Africa,43.75
9,South America,36.75
5,Africa,49.6125
17,North America,43.75
23,South America,36.75
3,North America,49.6125
21,South America,43.75
19,South America,36.75
22,South America,36.75
17,Asia,35.0
21,North America,36.75
7,Europe,36.75
20,Asia,36.75
18,Africa,36.75
14,Asia,36.75
14,Africa,43.75
23,South America,36.75
20,Asia,43.75
8,Europe,36.75
7,Asia,35.0
14,North America,36.75
10,South America,43.75
16,Asia,43.75
7,South America,43.75
1,South America,49.6125
13,Asia,36.75
14,Europe,36.75
13,North America,43.75
6,South America,49.6125
7,Asia,36.75
12,Africa,36.75
20,Europe,36.75
7,Europe,36.75
6,North America,59.0625
1,South America,47.25
10,Africa,36.75
21,Europe,36.75
0,Asia,49.6125
10,North America,36.75
6,Europe,47.25
8,South America,36.75
17,Africa,35.0
10,Africa,36.75
22,South America,35.0
23,South America,36.75
22,Europe,36.75
5,Asia,59.0625
20,Europe,36.75
12,Africa,36.75
15,South America,43.75
14,Africa,36.75
4,North America,59.0625
17,North America,35.0
4,Africa,49.6125
14,South America,36.75
7,North America,36.75
6,Africa,59.0625
19,North America,36.75
7,Asia,35.0
6,Asia,49.6125
13,South America,36.75
13,North America,36.75
14,Asia,43.75
17,North America,35.0
11,Asia,43.75
9,Asia,36.75
7,North America,36.75
1,Africa,47.25
23,Africa,36.75
11,North America,35.0
22,North America,43.75
7,Europe,36.75
17,Africa,36.75
16,North America,36.75
5,Asia,49.6125
20,Europe,36.75
10,Europe,35.0
23,Africa,43.75
20,North America,43.75
21,Europe,36.75
14,North America,43.75
13,Asia,35.0
0,Europe,47.25
4,North America,47.25
1,Asia,49.6125
15,Europe,36.75
10,Europe,36.75
13,Europe,35.0
2,Africa,49.6125
17,Asia,36.75
5,South America,47.25
17,Asia,36.75
12,North America,36.75
21,Asia,36.75
7,Europe,35.0
11,Africa,43.75
11,North America,35.0
11,South America,36.75
9,Africa,36.75
23,Europe,43.75
7,South America,35.0
5,North America,49.6125
12,North America,36.75
2,Africa,49.6125
7,Africa,35.0
9,Africa,36.75
2,North America,49.6125
16,South America,36.75
10,Asia,36.75
7,Asia,36.75
10,Africa,36.75
18,South America,43.75
6,Asia,47.25
14,Asia,35.0
16,Europe,43.75
1,Africa,47.25
10,North America,36.75
12,North America,36.75
3,Europe,59.0625
8,Africa,36.75
8,Asia,36.75
13,Asia,36.75
17,South America,36.75
8,Europe,36.75
6,Asia,49.6125
13,Asia,36.75
22,Asia,36.75
2,South America,49.6125
14,Europe,36.75
10,South America,36.75
10,Asia,36.75
21,Asia,36.75
13,Asia,36.75
19,Africa,36.75
5,South America,49.6125
19,Asia,36.75
11,Africa,36.75
8,South America,35.0
13,Europe,36.75
9,South America,35.0
19,Africa,36.75
7,Asia,43.75
15,South America,36.75
5,North America,49.6125
11,South America,36.75
5,Africa,49.6125
18,South America,43.75
0,Europe,49.6125
19,North America,35.0
3,Europe,47.25
14,North America,43.75
19,Africa,35.0
16,North America,43.75
9,Europe,43.75
12,North America,35.0
2,Asia,49.6125
7,North America,36.75
20,Asia,35.0
7,Europe,43.75
20,Africa,36.75
9,North America,43.75
10,Africa,43.75
0,South America,49.6125
21,North America,36.75
1,Africa,49.6125
1,Asia,49.6125
3,Europe,47.25
16,Europe,36.75
12,Asia,35.0
18,Asia,35.0
9,Africa,36.75
14,Europe,43.75
3,South America,47.25
5,South America,47.25
12,South America,35.0
6,Asia,49.6125
4,Asia,47.25
11,Europe,36.75
9,Africa,36.75
14,North America,36.75
13,Europe,36.75
18,South America,35.0
18,Europe,36.75
8,North America,43.75
22,South America,43.75
4,South America,49.6125
22,Europe,43.75
19,Europe,36.75
4,Africa,49.6125
14,Africa,36.75
5,Europe,49.6125
7,Europe,43.75
4,Europe,49.6125
12,Africa,35.0
7,South America,43.75
23,Africa,35.0
15,Africa,36.75
19,Africa,36.75
22,North America,43.75
4,Africa,49.6125
21,South America,36.75
11,Europe,36.75
13,South America,36.75
13,Asia,43.75
21,Asia,43.75
17,North America,35.0
20,Africa,43.75
8,North America,35.0
9,Asia,43.75
16,Asia,35.0
8,Europe,36.75
23,Africa,36.75
12,Asia,36.75
4,South America,49.6125
19,Asia,36.75
22,Europe,36.75
15,Asia,36.75
22,Asia,43.75
20,Africa,36.75
0,South America,49.6125
12,South America,35.0
14,North America,35.0
12,Asia,36.75
15,Asia,43.75
5,North America,59.0625
7,Europe,36.75
7,Europe,35.0
14,Europe,36.75
20,Europe,36.75
8,Europe,43.75
23,Asia,36.75
13,Asia,35.0
0,Asia,49.6125
14,North America,36.75
14,Europe,36.75
6,Europe,49.6125
11,Asia,36.75
17,Asia,36.75
22,South America,35.0
14,South America,43.75
11,Asia,36.75
15,South America,36.75
1,North America,47.25
23,North America,36.75
20,Asia,43.75
13,Asia,35.0
21,Europe,35.0
1,Africa,49.6125
20,North America,43.75
22,Europe,36.75
15,Europe,36.75
13,South America,35.0
16,Asia,35.0
10,Africa,43.75
7,North America,36.75
22,Africa,35.0
19,Europe,36.75
14,Asia,35.0
3,North America,47.25
5,North America,49.6125
17,Asia,36.75
21,Asia,36.75
19,South America,35.0
21,North America,35.0
16,North America,43.75
2,Europe,49.6125
16,Asia,43.75
6,Europe,47.25
13,South America,36.75
2,Europe,47.25
7,North America,36.75
4,North America,49.6125
20,Africa,35.0
2,Asia,59.0625
23,Africa,43.75
4,South America,59.0625
12,South America,43.75
0,Africa,47.25
2,South America,47.25
9,North America,36.75
18,Asia,43.75
2,North America,47.25
11,North America,43.75
5,Asia,49.6125
5,Europe,49.6125
12,Asia,35.0
23,Asia,35.0
22,Europe,35.0
1,Africa,49.6125
17,South America,35.0
21,Africa,36.75
8,South America,35.0
18,Europe,36.75
15,Africa,43.75
11,Asia,36.75
11,Europe,43.75
3,North America,49.6125
9,South America,43.75
22,Asia,36.75
17,Europe,36.75
16,North America,36.75
10,Europe,36.75
23,Europe,36.75
23,Asia,43.75
9,Asia,43.75
4,South America,59.0625
7,North America,35.0
10,South America,35.0
6,Asia,49.6125
15,Africa,36.75
6,Europe,49.6125
13,Africa,35.0
3,North America,49.6125
14,Africa,36.75
0,Asia,59.0625
15,North America,43.75
15,Africa,35.0
5,North America,59.0625
15,Asia,36.75
7,Europe,43.75
4,North America,49.6125
2,North America,49.6125
21,North America,36.75
15,North America,35.0
0,South America,49.6125
17,North America,36.75
12,Europe,36.75
8,Africa,35.0
2,North America,47.25
23,South America,35.0
16,South America,36.75
11,Africa,43.75
12,Asia,35.0
9,Europe,43.75
17,Europe,36.75
17,Asia,36.75
5,Europe,47.25
18,Europe,35.0
14,Africa,36.75
3,South America,49.6125
8,South America,35.0
18,Africa,35.0
15,South America,36.75
19,Africa,36.75
0,North America,49.6125
16,Africa,43.75
11,Asia,43.75
15,Europe,36.75
3,North America,49.6125
4,North America,49.6125
20,Asia,36.75
6,Europe,49.6125
23,Africa,35.0
12,Asia,43.75
16,Africa,35.0
3,Europe,49.6125
12,Africa,36.75
20,South America,36.75
5,South America,49.6125
5,South America,47.25
21,Europe,36.75
19,North America,36.75
11,Asia,36.75
8,Europe,36.75
15,Asia,36.75
3,Asia,49.6125
12,Europe,36.75
14,North America,36.75
19,South America,43.75
15,Africa,43.75
8,South America,36.75
18,Africa,36.75
7,Africa,35.0
7,Africa,36.75
3,Europe,49.6125
12,Africa,35.0
17,North America,43.75
15,North America,43.75
9,North America,35.0
20,Europe,43.75
9,Europe,36.75
4,South America,49.6125
21,Africa,36.75
4,North America,49.6125
15,North America,36.75
23,North America,36.75
22,Europe,36.75
21,Europe,36.75
8,Africa,36.75
16,South America,35.0
7,North America,35.0
18,Asia,35.0
21,Africa,36.75
0,South America,49.6125
22,North America,36.75
18,South America,36.75
17,Africa,36.75
5,Africa,47.25
17,Europe,35.0
16,South America,43.75
22,North America,36.75
16,Africa,43.75
10,Europe,36.75
1,Africa,59.0625
4,Africa,49.6125
0,Asia,59.0625
4,South America,49.6125
14,South America,36.75
1,Africa,59.0625
14,North America,36.75
16,Europe,36.75
21,South America,36.75
20,South America,43.75
4,North America,49.6125
13,Africa,35.0
9,South America,35.0
17,South America,35.0
19,Africa,35.0
14,Africa,36.75
20,South America,36.75
17,Europe,43.75
23,Africa,43.75
6,South America,49.6125
6,South America,59.0625
7,Asia,43.75
2,South America,47.25
23,Africa,43.75
18,Asia,43.75
8,Africa,35.0
11,North America,43.75
3,South America,49.6125
8,Africa,36.75
16,Asia,36.75
19,Europe,36.75
10,Europe,36.75
7,Africa,36.75
15,Europe,36.75
0,Europe,49.6125
2,North America,47.25
5,Africa,49.6125
14,Europe,35.0
10,Europe,36.75
11,Africa,36.75
14,North America,43.75
3,Europe,49.6125
22,Africa,36.75
9,North America,36.75
17,Africa,36.75
20,Europe,36.75
12,South America,35.0
3,Europe,49.6125
23,Asia,35.0
16,Africa,43.75
5,Africa,49.6125
18,Africa,36.75
16,Asia,36.75
2,Europe,59.0625
20,Asia,36.75
16,South America,35.0
5,Asia,49.6125
8,South America,43.75
17,Asia,36.75
6,Africa,49.6125
20,North America,36.75
9,Europe,36.75
22,North America,35.0
12,Asia,36.75
20,Asia,35.0
9,South America,36.75
7,North America,36.75
21,North America,36.75
8,Africa,43.75
7,South America,36.75
15,Asia,43.75
22,Europe,43.75
8,Asia,36.75
21,North America,35.0
12,Asia,43.75
15,Europe,36.75
23,Asia,36.75
11,Africa,36.75
15,Asia,36.75
18,Africa,36.75
13,Asia,35.0
2,Europe,49.6125
16,Europe,36.75
11,Asia,43.75
21,North America,36.75
6,Europe,49.6125
22,South America,36.75
0,Africa,59.0625
14,Europe,36.75
5,Europe,47.25
17,Africa,36.75
7,Europe,43.75
12,South America,35.0
8,South America,43.75
20,Asia,36.75
12,South America,36.75
7,North America,35.0
8,Asia,36.75
20,North America,36.75
14,Europe,36.75
15,Africa,36.75
0,North America,59.0625
20,South America,36.75
6,North America,49.6125
10,Africa,43.75
10,Africa,36.75
13,Europe,36.75
23,Europe,35.0
21,Europe,43.75
5,Asia,49.6125
19,Africa,36.75
18,North America,36.75
7,Africa,36.75
16,Africa,36.75
2,South America,49.6125
22,Europe,35.0
13,Europe,36.75
7,South America,43.75
7,Asia,35.0
20,Africa,43.75
14,Europe,36.75
5,North America,59.0625
22,South America,36.75
14,South America,36.75
2,Europe,49.6125
0,North America,49.6125
2,Europe,49.6125
19,Europe,35.0
9,Africa,36.75
20,North America,36.75
12,North America,36.75
21,Europe,36.75
23,Europe,36.75
1,Asia,47.25
19,South America,35.0
8,Africa,43.75
12,North America,36.75
15,South America,43.75
5,Africa,49.6125
22,North America,35.0
10,North America,36.75
11,Africa,35.0
21,Africa,35.0
3,Africa,49.6125
23,Europe,36.75
6,Europe,49.6125
22,Asia,43.75
8,Europe,43.75
1,Asia,49.6125
12,South America,43.75
6,Asia,59.0625
7,Europe,43.75
3,Africa,59.0625
10,Asia,43.75
5,Africa,49.6125
15,Asia,36.75
17,South America,36.75
15,Africa,36.75
18,South America,36.75
11,Africa,36.75
16,South America,36.75
10,North America,43.75
20,Asia,43.75
0,Europe,49.6125
18,North America,43.75
12,Asia,36.75
2,Asia,49.6125
5,South America,49.6125
13,Asia,36.75
9,Africa,36.75
22,Europe,43.75
1,Europe,47.25
15,Europe,43.75
16,Africa,35.0
3,Africa,49.6125
19,North America,36.75
3,Asia,49.6125
6,South America,49.6125
5,North America,47.25
12,South America,43.75
1,South America,49.6125
0,Europe,49.6125
4,Asia,49.6125
14,Europe,36.75
12,Africa,36.75
8,Africa,35.0
21,Europe,43.75
0,North America,59.0625
4,Europe,47.25
15,North America,36.75
18,South America,35.0
19,Africa,35.0
5,North America,47.25
18,South America,36.75
5,Asia,49.6125
23,Asia,36.75
23,North America,36.75
16,Africa,43.75
23,South America,43.75
20,Asia,35.0
16,Asia,35.0
0,South America,49.6125
22,South America,36.75
3,Africa,49.6125
6,Africa,49.6125
17,Africa,36.75
20,Africa,36.75
16,North America,43.75
8,Asia,35.0
11,South America,36.75
22,Africa,43.75
10,South America,36.75
0,Africa,47.25
10,North America,36.75
19,Europe,36.75
20,South America,36.75
23,North America,36.75
16,North America,36.75
23,North America,35.0
2,Asia,49.6125
4,Africa,49.6125
20,Europe,35.0
22,Africa,35.0
11,Europe,36.75
2,Asia,59.0625
10,North America,43.75
22,Asia,36.75
23,Europe,43.75
3,Europe,47.25
15,Asia,35.0
9,North America,35.0
20,Asia,36.75
3,Africa,47.25
15,Asia,36.75
1,Asia,47.25
14,Europe,35.0
17,North America,36.75
8,North America,35.0
12,Europe,36.75
23,North America,36.75
19,Europe,36.75
7,North America,43.75
23,Europe,36.75
0,Asia,49.6125
6,Africa,49.6125
11,North America,36.75
17,North America,36.75
3,Asia,47.25
20,Africa,36.75
22,South America,35.0
14,South America,35.0
0,Africa,49.6125
15,Africa,43.75
12,Africa,43.75
22,North America,35.0
14,North America,36.75
17,South America,36.75
1,South America,47.25
3,South America,49.6125
18,Africa,36.75
17,Europe,36.75
11,Africa,43.75
11,Europe,43.75
5,Europe,49.6125
23,Europe,36.75
13,North America,36.75
3,Asia,47.25
21,South America,36.75
6,South America,49.6125
2,Africa,49.6125
2,South America,49.6125
10,Europe,43.75
1,North America,49.6125
15,North America,35.0
1,South America,59.0625
5,North America,49.6125
6,North America,47.25
9,Africa,36.75
18,Asia,35.0
20,Asia,36.75
21,Asia,36.75
1,Europe,47.25
19,North America,36.75
4,North America,59.0625
18,South America,43.75
19,Europe,36.75
21,Africa,43.75
17,North America,36.75
23,North America,43.75
19,Asia,35.0
13,North America,43.75
2,Europe,49.6125
1,Africa,49.6125
22,South America,36.75
15,Europe,36.75
12,South America,36.75
6,Europe,49.6125
14,North America,43.75
10,South America,35.0
7,Asia,36.75
5,South America,49.6125
13,South America,36.75
10,North America,36.75
14,South America,36.75
4,Europe,49.6125
15,Asia,35.0
23,Africa,35.0
6,Asia,49.6125
12,Asia,43.75
20,North America,43.75
1,Asia,49.6125
17,Europe,35.0
0,North America,49.6125
17,South America,35.0
20,Africa,43.75
1,Europe,59.0625
5,Africa,49.6125
13,Europe,36.75
22,Asia,36.75
0,North America,59.0625
8,Europe,36.75
21,South America,35.0
12,South America,43.75
6,Asia,47.25
19,North America,43.75
12,Africa,35.0
17,Africa,36.75
21,South America,43.75
13,Europe,43.75
18,South America,43.75
20,South America,36.75
5,South America,47.25
3,Europe,49.6125
14,Africa,35.0
8,Asia,36.75
21,Asia,36.75
8,Africa,43.75
9,Africa,35.0
12,North America,43.75
22,Asia,36.75
1,Africa,49.6125
17,South America,36.75
19,Asia,36.75
12,South America,36.75
3,South America,49.6125
11,Asia,35.0
6,Asia,49.6125
4,Europe,49.6125
20,Africa,36.75
16,North America,43.75
16,Asia,35.0
7,South America,36.75
19,Asia,36.75
3,Asia,49.6125
13,Africa,36.75
5,Africa,49.6125
22,Europe,35.0
11,Africa,36.75
6,Europe,49.6125
7,Europe,36.75
12,Africa,36.75
17,Africa,36.75
23,North America,36.75
23,Asia,43.75
14,Asia,36.75
19,North America,43.75
13,Africa,36.75
1,North America,49.6125
19,Europe,36.75
15,South America,36.75
12,Africa,36.75
8,Asia,35.0
23,Europe,36.75
6,South America,49.6125
0,South America,49.6125
16,Africa,35.0
14,South America,36.75
21,South America,36.75
9,Europe,36.75
9,Europe,43.75
5,Europe,49.6125
0,North America,59.0625
4,Asia,49.6125
12,Asia,36.75
0,South America,49.6125
23,Africa,36.75
16,Europe,36.75
13,Africa,43.75
20,Africa,43.75
3,Africa,47.25
17,Europe,43.75
8,South America,36.75
1,Asia,47.25
23,South America,43.75
16,Asia,36.75
22,Africa,36.75
9,Asia,35.0
10,Europe,36.75
6,Europe,49.6125
20,North America,36.75
4,South America,49.6125
7,North America,36.75
21,Europe,36.75
7,North America,35.0
5,Europe,59.0625
11,Europe,36.75
7,Africa,36.75
11,Europe,43.75
18,Europe,36.75
18,Africa,36.75
1,Asia,47.25
9,Asia,36.75
12,Africa,43.75
7,Africa,36.75
13,Africa,43.75
9,South America,43.75
11,South America,36.75
0,Africa,47.25
6,Asia,49.6125
18,Europe,36.75
3,Europe,59.0625
9,North America,36.75
19,Africa,43.75
16,Africa,35.0
16,Africa,36.75
2,Africa,59.0625
11,South America,36.75
11,Asia,43.75
23,Europe,36.75
18,Asia,36.75
8,North America,35.0
21,Asia,36.75
21,Africa,43.75
11,Asia,36.75
17,North America,43.75
6,Europe,59.0625
19,North America,36.75
3,Europe,59.0625
0,Europe,49.6125
11,North America,43.75
9,Europe,36.75
0,Asia,59.0625
2,Africa,59.0625
6,North America,49.6125
10,North America,36.75
22,Africa,35.0
22,Asia,35.0
2,Africa,49.6125
13,Asia,36.75
23,South America,36.75
17,Europe,36.75
5,Europe,47.25
6,Asia,59.0625
13,Asia,35.0
13,South America,36.75
4,Africa,49.6125
22,South America,35.0
20,North America,43.75
1,South America,59.0625
5,Africa,49.6125
15,Africa,43.75
15,Europe,35.0
16,South America,35.0
10,North America,36.75
6,South America,49.6125
8,South America,36.75
16,North America,43.75
7,South America,36.75
19,Europe,43.75
3,Africa,47.25
10,Europe,36.75
3,Europe,59.0625
21,Africa,43.75
3,North America,49.6125
4,Africa,49.6125
17,North America,36.75
15,North America,36.75
17,Africa,36.75
6,Europe,47.25
19,Asia,36.75
20,Africa,43.75
20,Asia,35.0
3,Africa,59.0625
14,North America,35.0
2,Africa,49.6125
23,Africa,35.0
1,Africa,47.25
18,South America,43.75
4,Asia,59.0625
7,Europe,43.75
